"Text","Proform","Antecedent"
"Sid explained his theory to Mark but he couldn't convince him","he","Sid"
"Sid explained his theory to Mark but he couldn't understand him","he","Mark"
"Susan knew that Ann's son had been in a car accident, so she told her about it","she","Susan"
"Susan knew that Ann's son had been in a car accident, because she told her about it","she ","Ann"
"Joe's uncle can still beat him at tennis, even though he is 30 years younger","he","Joe"
"Joe's uncle can still beat him at tennis, even though he is 30 years older","he","Joe's uncle"
"The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.","it","The painting"
"The painting in Mark's living room shows an oak tree. It is to the right of a house.","it","an oak tree"
"There is a gap in the wall. You can see the garden through it.","it","a gap"
"There is a gap in the wall. You can see the garden behind it.","it","the wall"
"The drain is clogged with hair. It has to be cleaned.","it","The drain"
"The drain is clogged with hair. It has to be removed.","it","hair"
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.","it","My meeting"
"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was delayed, so it worked out.","it","the train"
"There is a pilllar between me and the stage, and I can't see around it.","it","a pillar"
"There is a pillar between me and the stage, and I can't see it.","it","the stage"
"They broadcast an annoucement, but a subway came into the station and I couldn't hear it.","it","an annoucement"
"They broadcast an annoucement, but a subway came into the station and I couldn't hear over it.","it","a subway"
"In the middle of the outdoor concert, the rain started falling, but it continued until 10.","it","the outdoor concert"
"In the middle of the outdoor concert, the rain started falling, and it continued until 10.","it","the rain"
"I used an old rag to clean the knife, and then I put it in the trash.","it","an old rag"
"I used an old rag to clean the knife, and then I put it in the drawer.","it","the knife"
"Ann asked Mary what time the library closes, because she had forgotten.","she","Ann"
"Ann asked Mary what time the library closes, but she had forgotten.","she","Mary"
"I took the water bottle out of the backpack so that it would be handy.","it","the water bottle"
"I took the water bottle out of the backpack so that it would be lighter.","it","the backpack"
"I couldn't put the pot on the shelf because it was too tall.","it","the pot"
"I couldn't put the pot on the shelf because it was too high.","it","the shelf"
"I'm sure that my map will show this building; it is very good.","it","my map"
"I'm sure that my map will show this building; it is very famous.","it","this building"
"Bob paid for Charlie's college education. He is very generous.","He","Bob"
"Bob paid for Charlie's college education. He is very grateful.","He","Charlie"
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.","He","Bob"
"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.","He","Charlie"
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.","He","Bob"
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.","He","Adam"
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.","He","Adam"
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.","He","Bob"
"If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.","he","The con artist"
"If the con artist has succeeded in fooling Sam, he would have lost a lot of money.","he","Sam"
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.","it","the dog"
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.","it","a spot under the tree"
"The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.","it","The cat"
"The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.","it","the mouse"
"Anne gave birth to a daughter last month. She is a very charming woman.","She","Anne"
"Anne gave birth to a daughter last month. She is a very charming baby.","She","a daughter"
"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.","She","Alice"
"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she wasbehaving so strangely.","She","her daughter"
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.","he","Jim"
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.","he","some guy in a military uniform with a huge red beard"
"The fish ate the worm. It was hungry.","It","The fish"
"The fish ate the worm. It was tasty.","It","the worm"
"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.","it","the key"
"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.","it","chewing gum"
"The dog chased the cat, which ran up a tree. It waited at the bottom.","It","The dog"
"The dog chased the cat, which ran up a tree. It waited at the top.","It","the cat"
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.","it","The tree"
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.","it","the roof of my house"
"The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.","He","The customer"
"The customer walked into the bank and stabbed one of the tellers. He was immedaitely taken to the hospital.","He","one of the tellers"
"John was doing research in the library when he heard a man humming and whistling. He was very annoyed.","He","John"
"John was doing research in the library when he heard a man humming and whistling. He was very annoying.","He","a man"
"John was walking through the park when he saw a man juggling watermelons. He was very impressed.","He","John"
"John was walking through the park when he saw a man juggling watermelons. He was very impressive.","He","a man"
"Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.","He","Bob"
"Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.","He","Carl"
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.","they","Sam and Amy"
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.","they","Amy's parents"
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.","He","Mark"
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.","He","Pete"
"Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.","it","his house"
"Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.","it","a new one"
"Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.","They","Many people"
"Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.","They","Paul's books"
"Mary took our her flute and played one of her favorite pieces. She has had it since she was a child.","it","her flute"
"Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.","it","one of her favorite pieces"
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.","it","a chair"
"Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.","it","the piano"
"Since it was raining, I carried the newspaper in my backpack to keep it dry.","it","the newspaper"
"Since it was raining, I carried the newspaper over my backpack to keep it dry.","it","my backpack"
"Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.","it","the book"
"Sara borrowed the book from the library because she needs it for an artilce she is working on. She writes it when she gets home from work.","it","an article she is working on"
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.","it","a sand castle"
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.","it","a toy flag"
"Jane knocked on Susan's door, but there was no answer. She was disappointed.","She","Jane"
"Jane knocked on Susan's door, but there was no answer. She was out.","She","Susan"
"Jane knocked on the door, and Susan answered it. She invited her to come out.","She","Jane"
"Jane knocked on the door, and Susan answered it. She invited her to come in.","She","Susan"
"Sam took French classes from Adam, because he was eager to speak it fluently.","he","Sam"
"Sam took French classes from Adam, because he was known to speak it fluently.","he","Adam"
"The path to the lake was blocked, so we couldn't use it.","it","The path to the lake"
"The path to the lake was blocked, so we couldn't reach it.","it","the lake"
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.","it","The sun"
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was gone.","it","a thick cloud"
"We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim.","it","the lake"
"We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.","it","the ocean beach"
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers.","they","shepherds"
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like dogs.","they","sheep"
"Mary tucked her daughter Anne into bed, so that she could work.","she","Mary"
"Mary tucked her daughter Anne into bed, so that she could sleep.","she","her daughter Anne"
"Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.","they","Fred and Alice"
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.","they","very warm down coats"
"Thomson visited Cooper's grave in 1765. At that date, he had been traveling for five years.","he","Thomson"
"Thomson visited Cooper's grave in 1765. At that date, he had been dead for five years.","he","Cooper"
"Jackson was greatly infuenced by Arnold, though he lived two centuries later.","he","Jackson"
"Jackson was greatly influenced by Arnold, though he lived two centuries ealrier.","he","Arnold"
"I can't cut that tree down with that axe; it is too thick.","it","that tree"
"I can't cut that tree down with that axe; it is too small.","it","that axe"
"The foxes are getting in at night and attacking the chickens. I shall have to kill them.","them","the foxes"
"The foxes are getting in at night and attacking the chickens. I shall have to guard them","them","the chickens"
"The foxes are getting in at night and attacking the chickens. They have gotten very bold.","They","The foxes"
"The foxes are getting in at night and attacking the chickens. They have gotten very nervous.","They","the chickens"
"Fred covered his eyes with his hands, because the wind was blowing sand around. He opened them when the wind stopped.","them","his eyes"
"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered them when the wind stopped.","them","his hands"
"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because it was too hard to pronounce.","it","Terpsichore"
"The actress used to be named Terpsichore, but she changed it to Tina  afew years ago, because she figured it was easier to pronounce.","it","Tina"
"Fred watched TV while George went out to buy groceries. After an hour he got up.","he","Fred"
"Fred watched TV while George went out to buy groceries. After an hour he got back.","he","George"
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.","it","the dishwasher"
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.","it","the TV"
"Fred is the only man still alive who remembers my great-grandfather. He is a remarkable man.","He","Fred"
"Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.","He","my great-grandfather"
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.","He","Fred"
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.","He","my father"
"In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.","they","Kamchatka"
"In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.","they","Yakutsk"
"Look! There is a minnow swimming right below that duck! It had better get away to safety fast!","It","a minnow"
"Look! There is a shark swimming right below that duck! It had better get away to safety fast!","It","that duck"
"Archaeologists have concluded that humans lived on Laputa 20,000 years ago. They hunted for evidence on the river banks","They","Archaeologists"
"Archaeologists have concluded that humans lived on Laputa 20,000 years ago. They hunted for deer on the river banks.","They","humans"
"The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They began two years ago.","They","The scientists"
"The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.","They","three species of fish"
"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.","They","The journalists"
"The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.","They","the stars of the new movie"
"The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.","They","The police"
"The police arrested all of the gang members. They were trying to run the drug trade in the neighborhood.","They","the gang members"
"I put the cake away in the refrigerator. It has a lot of butter in it.","It","the cake"
"I put the cake away in the refrigerator. It has a lot of leftovers in it.","It","the refrigerator"
"Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.","they","his ankles"
"Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be unnecessary.","they","crutches"
"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the minority.","They","the sponsors"
"When the sponsors of the bill got to the town hall, they were surpised to find that the room was full of opponents. They were very much in the majority.","They","opponents"
"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.","them","the oatmeal cookies"
"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make fewer of them.","them","the chocolate chip cookies"
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.","them","copies of our newsletter"
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.","them","the chairs in the auditorium"
"I stuck a pin through a carrot. When I pulled the pin out, it left a hole.","it","the pin"
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.","it","a carrot"
"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of coffee.","it","a pen"
"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.","it","my coffee"
"Steve follows Fred's example in everything. He admires him hugely.","He","Steve"
"Steve follows Fred's example in everything. He influences him hugely.","He","Fred"
"The table won't fit through the doorway because it is too wide.","it","The table"
"The table won't fit through the doorway because it is too narrow.","it","the doorway"
"Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.","it","her sweater"
"Grace was happy to trade me her sweater for my jacket. She thinks it looks great on her.","it","my jacket"
"John hired Bill to take care of him.","him","John"
"John hired himself out to Bill to take care of him.","him","Bill"
"John promised Bill to leave, so an hour later he left.","he","John"
"John ordered Bill to leave, so an hour later he left.","he","Bill"
"Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.","he","Sam Goodman"
"Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.","he","the Spartan general Xenophanes"
"Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.","her","Emma"
"Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.","her","Emma's mother"
"Jane knocked on Susan's door but she did not get an answer.","she","Jane"
"Jane knocked on Susan's door but she did not answer.","she","Susan"
"Joe paid the detective after he received the final report on the case.","he","Joe"
"Joe paid the detective after he delivered the final report on the case.","he","the detective"
"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.","she","Beth"
"Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.","she","Sally"
"Jim signaled the barman and gestured toward his empty glass.","his","Jim"
"Jim signaled the barman and gestured toward his bathroom key.","his","the barman"
"Dan took the rear seat while Bill claimed the front because his 'Dibs!' was slow","his","Dan"
"Dan took the rear seat while Bill claimed the front because his 'Dibs!' was quicker","his","Bill"
"Tom said 'Check' to Ralph as he moved his bishop.","his","Tom"
"Tom said 'Check' to Ralph as he took his bishop.","his","Ralph"
"As Andrea in the crop duster passed over Susan, she could see the landing strip.","she","Andrea"
"As Andrea in the crop duster passed over Susan, she could see the landing gear.","she","Susan"
"Tom gave Ralph a lift to school so he wouldn't have to drive alone.","he","Tom"
"Tom gave Ralph a lift to school so he would't have to walk.","he","Ralph"
"Bill passed the half-empty plate to John because he was full.","he","Bill"
"Bill passed the half-empty plate to John because he was hungry.","he","John"
"Bill passed the gameboy to John because his turn was over.","his","Bill"
"Bill passed the gameboy to John because his turn was next.","his","John"
"The man lifted the boy onto his shoulders.","his","The man"
"The man lifted the boy onto his bunk bed.","his","the boy"
"Stretching her back, the woman smiled at the girl.","her","the woman"
"Patting her back, the woman smiled at the girl.","her","the girl"
"Billy cried because Toby wouldn't accept his toy.","his","Billy"
"Billy cried because Toby wouldn't share his toy.","his","Toby"
"Lily spoke to Donna, breaking her silence.","her","Lily"
"Lily spoke to Donna, breaking her concentration.","her","Donna"
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.","him","Tommy"
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.","him","Timmy"
"As Ollie carried Tommy up the long winding steps, his legs ached.","his","Ollie"
"As Ollie carried Tommy up the long winding steps, his legs dangled.","his","Tommy"
"The father carried the sleeping boy in his arms","his","The father"
"The father carried the sleeping boy in his bassinet.","his","the sleeping boy"
"The woman held the girl against her chest.","her","The woman"
"The woman held the girl against her will","her","the girl"
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.","They","Pam's parents"
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarassed about it.","They","Pam and Paul"
"Dr. Adams informed Kate that she had retired and presented several options for future treatment.","she","Dr. Adams"
"Dr. Adams informed Kate that she had cancer and presented several options for future treatment.","she","Kate"
"Dan had to stop Bill from toying with the injured bird. He is very compassionate.","He","Dan"
"Dan had to stop Bill from toying with the injured bird. He is very cruel.","He","Bill"
"George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.","he","George"
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.","he","Eric"
"George got free tickets to the play, but he gave them to Eric, because he was not particularly eager to see it.","he","George"
"Jane gave Joan candy because she wasn't hungry.","she","Jane"
"Jane gave Joan candy because she was hungry.","she","Joan"
"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.","they","lemons"
"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking like telephone poles.","they","lemon trees"
"James asked Robert for a favor but he was refused.","he","James"
"James asked Robert for a favor but he refused.","he","Robert"
"Kirilov ceded the presidency to Shatov because he was less popular.","he","Kirilov"
"Kirilov ceded the presidency to Shatov because he was more popular.","he","Shatov"
"Emma did not pass the ball to Janie although she saw that she was open.","she","Emma"
"Emma did not pass the ball to Janie although she was open.","she","Janie"
"I put the butterfly wing on the table and it broke.","it","the butterfly wing"
"I put the heavy book on the table and it broke.","it","the table"
"Madonna fired her trainer because she couldn't stand her boyfriend.","she","Madonna"
"Madonna fired her trainer because she slept with her boyfriend.","she","her trainer"
"Madonna fired her trainer because she slept with her boyfriend.","her","Madonna"
"Madonna fired her trainer because she couldn't stand her boyfriend.","her","her trainer"
"Carol believed that Rebecca suspected that she had stolen the watch.","she","Carol"
"Carol believed that Rebecca regretted that she had stolen the watch.","she","Rebecca"
